Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C0,22pf,C_0805_2012Metric,-41.2,-84.35,45,bottom
C1,22pf,C_0805_2012Metric,-45.9,-89.05,-135,bottom
C2,1uf,C_0805_2012Metric,-41.2,-62.95,90,bottom
C3,.1uf / 100nf,C_0805_2012Metric,-49.55,-62.175,0,bottom
C4,.1uf / 100nf,C_0805_2012Metric,-49.55,-64.325,0,bottom
C5,10uf,C_0805_2012Metric,-49.55,-66.425,0,bottom
D1,BAV70,SOT-23,-55.85,-66.65,0,bottom
D2,BAV70,SOT-23,-62.9,-110.05,-90,bottom
D3,BAV70,SOT-23,-154.1,-109.15,-90,bottom
D4,BAV70,SOT-23,-150.15,-109.15,-90,bottom
D203,BAV70,SOT-23,-66,-65.7,-90,bottom
D405,BAV70,SOT-23,-77.57,-64.43,90,bottom
D607,BAV70,SOT-23,-73.93,-64.43,90,bottom
D809,BAV70,SOT-23,-154.1,-64.31,90,bottom
D1011,BAV70,SOT-23,-55.85,-70.35,0,bottom
D1213,BAV70,SOT-23,-66,-70.55,90,bottom
D1415,BAV70,SOT-23,-77.57,-71.69,-90,bottom
D1617,BAV70,SOT-23,-73.95,-71.69,-90,bottom
D1819,BAV70,SOT-23,-153.78,-71.87,-90,bottom
D2021,BAV70,SOT-23,-55.7,-101,0,bottom
D2223,BAV70,SOT-23,-66.55,-100.95,90,bottom
D2425,BAV70,SOT-23,-62.9,-100.95,90,bottom
D2627,BAV70,SOT-23,-59.25,-100.95,90,bottom
D2829,BAV70,SOT-23,-154.1,-102.85,90,bottom
D3031,BAV70,SOT-23,-59.1,-110.05,90,bottom
D3233,BAV70,SOT-23,-66.55,-110.05,-90,bottom
D10011,BAV70,SOT-23,-150.16,-64.32,90,bottom
D12013,BAV70,SOT-23,-146.48,-64.32,90,bottom
D110111,BAV70,SOT-23,-150.17,-71.87,-90,bottom
D112113,BAV70,SOT-23,-146.47,-71.87,-90,bottom
D210211,BAV70,SOT-23,-150.16,-102.85,90,bottom
D212213,BAV70,SOT-23,-146.48,-102.85,90,bottom
F0,Polyfuse,Fuse_1206_3216Metric,-49.975,-56.9,-90,bottom
G***,LOGO,vial_logo,-99.55,-88.65,180,bottom
G***,LOGO,qmk,-72.9,-88.65,180,bottom
J0,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,-46.887501,-48.211999,0,bottom
R0,10k,D_0805_2012Metric,-47.65,-68.55,180,bottom
R1,22,D_0805_2012Metric,-44.45,-64.325,180,bottom
R2,22,D_0805_2012Metric,-44.45,-62.175,180,bottom
R3,5.1k,D_0805_2012Metric,-39.262501,-52.018249,0,bottom
R4,5.1k,D_0805_2012Metric,-54.412501,-52.018249,180,bottom
R5,10k,D_0805_2012Metric,-44.5,-96.55,45,bottom
SW0,SW_PUSH,SW_SPST_TL3342,-27.35,-88.15,180,bottom
U1,ATmega32U2-A,TQFP-32_7x7mm_P0.8mm,-38.137501,-93.643249,-135,bottom
U2,SRV05-4,SOT-23-6,-45.175,-56.988249,180,bottom
Y0,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,-43.6,-86.75,-45,bottom
